course_id,title,provider,mapped_skill,cost,duration_hours,difficulty,source_url,description_preview,skill_id,relevance_score
16,(eCornell) Real Estate Investment Decisions,GENASHTIM,APIs,700.0,12.0,Intermediate,,"In this course, Jan A. deRoos, professor at the Cornell SC Johnson College of Business, uses real-world examples and practical tools to teach these critical components of profitable real estate investment.Real estate investment has a long history, going back well before the advent of the stock marke",17,0
17,(eCornell) Sustainable Tourism Destination Management,GENASHTIM,APIs,1000.0,40.0,Advanced,,"This course aims to train global hospitality and tourism professionals in using sustainable practices across all areas of the tourism industry. Throughout the course, you will be introduced to innovative, data-driven methods for destination management, delivered by over 20 world-renowned experts in",17,0
18,A History of Western Art II: From Picasso to Pop,LASALLE COLLEGE OF THE ARTS,APIs,380.0,14.0,Unspecified,,The second trilogy of courses on the history of Western art series provides a brief but essential survey of modern Western art from the early 20th century to the 1960s. This course will survey the major art movements and artists of the twentieth century and the emergence of abstract art. It will dis,17,0
19,ABCs of resilience and Self-care for Preschool and Early Intervention Educators,KLC INTERNATIONAL INSTITUTE PTE. LTD.,APIs,108.0,8.0,Intermediate,,"Preschool and early intervention educators are at the forefront of shaping the developmental journey of young children, including those with unique needs. This workshop addresses the critical need for self-care and resilience in these educators, recognizing the unique challenges they face. The objec",17,0
20,ABCs of resilience and Self-care for Preschool and Early Intervention Educators (Synchronous e-learning),KLC INTERNATIONAL INSTITUTE PTE. LTD.,APIs,108.0,8.0,Intermediate,,"Preschool and early intervention educators are at the forefront of shaping the developmental journey of young children, including those with unique needs. This workshop addresses the critical need for self-care and resilience in these educators, recognizing the unique challenges they face. The objec",17,0
24,ASSIST IN DAILY ACTIVITIES OF LIVING (ADL) IN THERAPY SUPPORT (CLASSROOM & SYNCHRONOUS),HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,666.0,74.0,Unspecified,,"The Healthcare market in Singapore is developing a network of community care system to meet the changing and varied needs of the population, especially the seniors living in a rapidly ageing society. In tandem, a new healthcare need is emerging in the community care sector to help seniors live well",17,0
25,ASSIST IN REHABILATIVE ACTIVITIES IN THERAPY SUPPORT (CLASSROOM & SYNCHRONOUS),HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,594.0,66.0,Unspecified,,"The Healthcare market in Singapore is developing a network of community care system to meet the changing and varied needs of the population, especially the seniors living in a rapidly ageing society. In tandem, a new healthcare need is emerging in the community care sector to help seniors live well",17,0
26,ASSIST IN SERVING PRESCRIBED MEDICATIONS,HMI INSTITUTE OF HEALTH SCIENCES PTE. LTD.,APIs,225.0,25.0,Unspecified,,"The Healthcare market in Singapore is developing a network of community care system to meet the changing and varied needs of the population, especially the seniors living in a rapidly ageing society. In tandem, a new healthcare need is emerging in the community care sector to help seniors live well",17,0
27,Advanced Care Coordination and Navigation,Republic Polytechnic,APIs,1174.5,45.0,Advanced,,"Students will gain an appreciation of various financial schemes and community resources available for the patients, families and caregivers. Students will develop plans to coordinate with the multidisciplinary team of health professionals such as physical therapist and occupational therapist in the",17,0
28,Advanced Cash Flow Analysis  - Counterparty Credit Analysis,SINGAPORE MANAGEMENT UNIVERSITY,APIs,900.0,24.0,Advanced,,"â€¢ Use industry and macro characteristics to build expectations about resource requirements, performance metrics and cash flow drivers_x000D_ â€¢ Perform quantitative review of companiesâ€™ revenue model, cost structure, margins and working capital management to establish optimal financing requirem",17,0
29,Advanced Cash Flow Analysis  - Counterparty Credit Analysis (Synchronous E-learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,900.0,24.0,Advanced,,"â€¢ Use industry and macro characteristics to build expectations about resource requirements, performance metrics and cash flow drivers_x000D_ â€¢ Perform quantitative review of companiesâ€™ revenue model, cost structure, margins and working capital management to establish optimal financing requirem",17,0
30,Advanced Certificate in Entrepreneurship - Scale-Up Module 1: Lean Approach to Entrepreneurship,SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Advanced,,"Moving from ideation to execution is a challenging journey filled with critical decisions â€“ from building a capable team to choosing the right business model and securing funding. Led by entrepreneurs with proven success, this programme offers proven strategies for scaling your business and equips",17,0
31,Advanced Certificate in Entrepreneurship - Scale-Up Module 1: Lean Approach to Entrepreneurship (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Advanced,,"Moving from ideation to execution is a challenging journey filled with critical decisions â€“ from building a capable team to choosing the right business model and securing funding. Led by entrepreneurs with proven success, this programme offers proven strategies for scaling your business and equips",17,0
32,Advanced Certificate in Fintech and the Future of Finance Module 5: Shaping the Future of Fintech â€“ Entrepreneurship and Innovation,SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Advanced,,"At the end of the 2-day module, participants will be able to:_x000D_ â€¢ Understand the intricacies of developing, launching, and scaling a Fintech startup_x000D_ â€¢ Develop a comprehensive knowledge of the Fintech ecosystem, including the funding landscape and venture capital_x000D_ â€¢ Analyse ca",17,0
33,Advanced Certificate in Fintech and the Future of Finance Module 5: Shaping the Future of Fintech â€“ Entrepreneurship and Innovation (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Advanced,,"At the end of the 2-day module, participants will be able to:_x000D_ â€¢ Understand the intricacies of developing, launching, and scaling a Fintech startup_x000D_ â€¢ Develop a comprehensive knowledge of the Fintech ecosystem, including the funding landscape and venture capital_x000D_ â€¢ Analyse ca",17,0
34,Advanced Certificate in Talent Assessment and Performance Development Module 6: Forward Thinking Capability,SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,16.0,Advanced,,"Organisational leaders must be forward thinkers and adept at managing complexity to ensure long-term success and sustainability. Forward-thinking allows leaders to anticipate future trends, innovate, and prepare for changes, keeping the organisation ahead of the curve. Simultaneously, managing compl",17,0
35,Advanced Certificate in Talent Assessment and Performance Development Module 6: Forward Thinking Capability (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,16.0,Advanced,,"Organisational leaders must be forward thinkers and adept at managing complexity to ensure long-term success and sustainability. Forward-thinking allows leaders to anticipate future trends, innovate, and prepare for changes, keeping the organisation ahead of the curve. Simultaneously, managing compl",17,0
36,Advanced Certificate in Venture Capital Module 1: Market Overview and Global Perspectives,SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Advanced,,"At the end of the 2-day module, participants will be able to:_x000D_ â€¢ Understand and learn about the global trends in Venture Capital (VC) and historical development of this industry_x000D_ â€¢ Apply and evaluate the current development of VC industry in view of disruptive technology and a new er",17,0
37,Advanced Certificate in Venture Capital Module 1: Market Overview and Global Perspectives (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Advanced,,"At the end of the 2-day module, participants will be able to:_x000D_ â€¢ Understand and learn about the global trends in Venture Capital (VC) and historical development of this industry_x000D_ â€¢ Apply and evaluate the current development of VC industry in view of disruptive technology and a new er",17,0
38,"Advanced Clinical Exercise Physiotherapy for Metabolic, Cardiovascular, Pulmonary and Oncologic Diseases",SINGAPORE INSTITUTE OF TECHNOLOGY,APIs,1260.0,25.0,Advanced,,The Advanced Clinical Exercise Testing and Prescription training course consists of a series of workshops which aim to equip physiotherapists with advanced principles and theories in clinical exercise physiology to understand the impact of exercise or activity on the human physiological system in sp,17,0
39,Advanced Diploma in Nursing (Medical-Surgical),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,The Advanced Diploma in Nursing (Medical-Surgical) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environme,17,0
40,Advanced Diploma in Nursing (Mental Health),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,"The Advanced Diploma in Nursing (Mental Health) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environment,",17,0
41,Advanced Diploma in Nursing (Nephro-Urology),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,The Advanced Diploma in Nursing (Nephro-Urology) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environment,17,0
42,Advanced Diploma in Nursing (Oncology),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,"The Advanced Diploma in Nursing (Oncology) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environment, and",17,0
43,Advanced Diploma in Nursing (Orthopaedics),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,"The Advanced Diploma in Nursing (Orthopaedics) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environment,",17,0
44,Advanced Diploma in Nursing (Paediatrics),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,"The Advanced Diploma in Nursing (Paediatrics) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environment, a",17,0
45,Advanced Diploma in Nursing (Perianaesthesia),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,The Advanced Diploma in Nursing (Perianaesthesia) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environmen,17,0
46,Advanced Diploma in Nursing (Perioperative),Nanyang Polytechnic,APIs,19608.0,860.0,Advanced,,"The Advanced Diploma in Nursing (Perioperative) aims to develop specialty nurses with a well-developed knowledge base and specialist skills in both the technological and the caring dimensions of their respective specialty to make sound and rapid clinical judgements within a complex care environment,",17,0
47,Advanced HR Analytics â€“ Using Data Modelling to Improve Human Capital Performance,Nanyang Polytechnic,APIs,90.0,7.0,Advanced,,This course is meant to equip HR professionals with skills for data analytics and modelling to tap on employee data resource to make higher ROI decisions.,17,0
48,Advanced HR Analytics â€“ Using Data Modelling to Improve Human Capital Performance - Synchronous elearning,Nanyang Polytechnic,APIs,78.0,7.0,Advanced,,"This course is meant to equip HR professionals with skills for data analytics and modelling, thereby enabling them to tap on their employee data resource to make higher ROI decisions.",17,0
49,Advanced Real Estate Portfolio Management,SINGAPORE MANAGEMENT UNIVERSITY,APIs,660.0,15.0,Advanced,,"This module provides insight and guidance for an investment management professional or individual to understand the concepts and process of building a professional portfolio of underlying income and capital gain assets.  The investment principles of objectives development, portfolio construction, pe",17,0
50,Advanced Real Estate Portfolio Management (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,660.0,15.0,Advanced,,"This module provides insight and guidance for an investment management professional or individual to understand the concepts and process of building a professional portfolio of underlying income and capital gain assets.  The investment principles of objectives development, portfolio construction, pe",17,0
51,Advanced Systemic Family Therapy,Singapore University of Social Sciences,APIs,2640.0,32.0,Advanced,,Discuss in-depth the key systemic theoretical concepts and application in couple and family therapy (CFT). Appraise the strengths and limitations in each of the CFT treatment modalities. Organise the different treatment modalities in oneï¿½s clinical thinking and practice. Evaluate how the main theo,17,0
52,Advancing Inclusive Finance: Open Banking and Embedded Finance Solutions,SINGAPORE MANAGEMENT UNIVERSITY,APIs,300.0,8.0,Unspecified,,"Discover the transformative power of open banking and embedded finance in this enlightening course. These groundbreaking FinTech innovations are reshaping access to financial services, emphasising their critical role in enhancing financial inclusion. Participants will delve into the essential concep",17,0
53,Advancing Inclusive Finance: Open Banking and Embedded Finance Solutions (Synchronous E-Learning),SINGAPORE MANAGEMENT UNIVERSITY,APIs,300.0,8.0,Unspecified,,"Discover the transformative power of open banking and embedded finance in this enlightening course. These groundbreaking FinTech innovations are reshaping access to financial services, emphasising their critical role in enhancing financial inclusion. Participants will delve into the essential concep",17,0
54,Analyzing Financial Statements: Valuation and Capital Allocation,NATIONAL UNIVERSITY OF SINGAPORE,APIs,315.0,7.5,Unspecified,,"This course will leverage your ability to decipher financial statements, and gain skills to make valuation and capital allocation decisions on your companies as well as to manage risks. _x000D_ _x000D_ Topics covered include:_x000D_ - Valuation techniques; e.g. _x000D_  - valuation multiples_x000D_",17,0
55,Application Integration (SF) (Classroom and Synchronous and Asynchronous E-Learning),LITHAN ACADEMY PTE. LTD.,APIs,1000.0,60.5,Unspecified,,"By the end of this module, the learner should be able to gain the following knowledge:_x000D_ Understand The elements of an application integration plan _x000D_ Describe the Pros and cons,  and applications of various middleware components_x000D_ Learn ReactJS components development_x000D_ Learn SDK",17,0
56,Application Integration with Docker and Kubernetes,TERTIARY INFOTECH PTE. LTD.,APIs,375.0,16.0,Advanced,,Take your DevOps skills to the next level with our course on Application Integration with Docker and Kubernetes. This hands-on training is designed to teach you the ins and outs of using Docker and Kubernetes for efficient application development and deployment. You'll gain a strong foundation in co,17,0
57,Application in Aquaculture (in MC in Aquaculture Technology in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,636.75,75.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
58,Applied Analytics Skills,SINGAPORE POLYTECHNIC,APIs,180.0,10.5,Intermediate,,"Applied Data Analytics in Business:_x000D_ This certificate covers how analytics is being used in different industries and in particular, human resource. It includes the application of analytics tools to make sense of human capital resources within an organisation and making plans for future growth.",17,0
59,Applied Financial Mathematics II,Singapore University of Social Sciences,APIs,1461.0,18.0,Intermediate,,"Compare forward and future contracts. Discuss the efficient frontier, and explain the implications for incremental returns as an investor assumes more risk. Solve, using the SML, the expected return on a security. Infer the present and future values for different cash flow streams. Construct bond po",17,0
60,"Applying Quantum Thinking in Leadership and Sustainability Management to Foster Change, Transformation, and Resilience",SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Intermediate,,"At the end of the 2-day module, participants will be able to:_x000D_ _x000D_ 1. Analyse the key principles of quantum mechanics and how they can be applied to leadership in complex, adaptive systems._x000D_ 2. Evaluate the importance of entangled relationships in complex organisations and assess str",17,0
61,"Applying Quantum Thinking in Leadership and Sustainability Management to Foster Change, Transformation, and Resilience (Synchronous E-learning)",SINGAPORE MANAGEMENT UNIVERSITY,APIs,600.0,15.0,Intermediate,,"At the end of the 2-day module, participants will be able to:_x000D_ _x000D_ 1. Analyse the key principles of quantum mechanics and how they can be applied to leadership in complex, adaptive systems._x000D_ 2. Evaluate the importance of entangled relationships in complex organisations and assess str",17,0
62,Aquaculture Engineering (in MC in Aquatic Systems and Mechanics in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,636.75,75.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
63,Aquatic Animal Nutrition and Feed Development (in MC in Aquaculture Sciences in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,509.4,60.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
64,Aquatic Ecology and Biodiversity (in MC in Sustainable Aquaculture and Environmental Sciences in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,509.4,60.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
65,Assist therapist in the provision of therapy services & programmes to meet special needs of clients (SFw),CSM ACADEMY INTERNATIONAL PTE. LTD.,APIs,275.0,30.0,Unspecified,,Assist therapist in the provision of therapy services & programmes to meet special needs of clients,17,0
66,Assist therapist or therapist assistant to conduct therapy programmes (SFw),CSM ACADEMY INTERNATIONAL PTE. LTD.,APIs,275.0,40.0,Unspecified,,"This Competency Unit enables an individual to acquire the skills and knowledge to apply common processes in Therapy Services. This Competency Unit, together with other elective units, is tailored to provide the skill and knowledge outcomes required by the Community and Social Services sector.",17,0
67,Autonomous Robots & Vehicles,NATIONAL UNIVERSITY OF SINGAPORE,APIs,4500.0,32.5,Intermediate,,"The global market for mobile robotics is forecast to grow rapidly at CAGR of 15.6%, reaching US$30Billion by 2025. This growth will have a substantial transformative effect on most industry sectors, with numerous applications already being found in manufacturing, engineering, transportation, healthc",17,0
68,Aviation Financing,NATIONAL UNIVERSITY OF SINGAPORE,APIs,5400.0,27.0,Unspecified,,"At the end of the course, participants will be able to:  (i)  understand the legal and factual nature of aircraft assets as movable, tangible, personal, possessory property which are able to cross borders;  (ii)  have a working knowledge of title financing and the taking and perfection of collatera",17,0
69,BIZ-SCIT Singapore Corporate Income Tax (Synchronous e-learning),NATIONAL UNIVERSITY OF SINGAPORE,APIs,600.0,12.0,Intermediate,,This course will address the following:_x000D_ -Overview of Singaporeâ€™s tax regime_x000D_ -Basis of income taxation_x000D_ -Tax residency status and why it matters for corporate taxpayers_x000D_ -Various types of taxable income derived by companies_x000D_ -Deemed source income_x000D_ -Rules for cl,17,0
70,Backend Development with Java,DIGIPEN INSTITUTE OF TECHNOLOGY SINGAPORE PTE. LTD.,APIs,1750.0,105.0,Intermediate,,"Upon successful completion of the module, the trainee will be able to perform the following specific tasks:_x000D_ _x000D_ â€¢	Develop an understanding of the principles of Maven and its role in building backend applications._x000D_ â€¢	Understand the core modules of Spring and how to use them in so",17,0
71,"Bake Croissant, Danish & Puff Pastries",GRA BAKING ACADEMY,APIs,420.0,24.0,Unspecified,,"1. Prepare ingredients for laminated pastry_x000D_ 2. Apply proper techniques for mixing, rolling and shaping of dough_x000D_ 3. Prepare fillings and toppings for pastries_x000D_ 4. Fill and bake pastries at a controlled time and temperature_x000D_ 5. Evaluate baked pastries quality and characterist",17,0
72,Bake Rich Yeast Dough Bread,GRA BAKING ACADEMY,APIs,420.0,24.0,Unspecified,,"1. Select the right ingredients and proportions to bake quality bread_x000D_ 2. Prepare fillings and toppings for bread _x000D_ 3. Make bread dough including shaping, scoring and proofing _x000D_ 4. Bake bread at a controlled time and temperature_x000D_ 5. Evaluate baked bread quality and characteri",17,0
73,Basic Economics,Singapore Polytechnic,APIs,1315.95,46.5,Beginner,,"As Singapore becomes an innovation-driven economy, new skills and competencies will be in demand. To help working adults upgrade themselves with relevant Human Resource skills and knowledge, the DBHC under the Continuing Education & Training (CET) framework was officially launched in 2018. This is i",17,0
74,Basic Fluid Mechanics (in MC in Aquatic Systems and Mechanics in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,382.05,45.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
75,Basic Outbreak Rapid Response,NATIONAL UNIVERSITY OF SINGAPORE,APIs,810.0,36.0,Beginner,,"Upon completion of this course, participants will be able to:_x000D_ 1. Apply field epidemiologic methods to undertake rapid response on the ground_x000D_ 2. Assist in surveillance and outbreak investigation using a systematic approach; and_x000D_ 3. Acquire skills to effect preventive and preparedn",17,0
76,Basic Principles of ATP (Adenosine Triphosphate) bioluminescence system in hygiene / sanitation monitoring,Nanyang Polytechnic,APIs,55.5,7.0,Beginner,,"The purpose of this course offers an urban solution, to equip users from different agencies or organisation with the skills and ability to use ATP bioluminscence reader and swab as a rapid technology to qualify their cleaning efficacy. This allows them to establish an autonomous hygiene monitoring p",17,0
77,Basic Sports Taping,Republic Polytechnic,APIs,165.0,13.0,Beginner,,"Sports taping is a recognized skill which can be used to prevent, treat and/or rehabilitate musculoskeletal injuries. The aim of this short course is to equip learners with basic knowledge on sports taping and basic sports taping techniques for elbow, wrist, knee, ankle, and foot.",17,0
78,Behavioural and Systemic Interventions in Special Needs,NATIONAL UNIVERSITY OF SINGAPORE,APIs,765.0,21.0,Intermediate,,"By the end of the course, participants should be able to:_x000D_ _x000D_ 1) Understand diagnostic criteria and identify symptoms of Intellectual Disability (ID), Autism Spectrum Disorder (ASD) and Attention Deficit Hyperactivity Disorder (ADHD)._x000D_ 2) Understand risk factors, comorbidities, and",17,0
79,Bread Preparation Foundation,PROJECT DIGNITY PTE. LTD.,APIs,270.0,16.0,Beginner,,"At the end of the course, the learners will be able to demonstrate understanding the use of tools & equipment, ingredients and mixing techniques involved in making the bread using straight dough method.  In the process, learners will be able to recognise the correct dough texture required after mixi",17,0
80,Build Workplace Relationships through Restorative Practices,LUTHERAN COMMUNITY CARE SERVICES LIMITED,APIs,600.0,22.5,Beginner,,We are introducing RESTORATIVE PRACTICES (RP) to our modules to improve and repair relationships between people to build healthy communities and increase social capital â€“ therefore has relevance and applicability in helping workplaces become more conducive and cohesive environments.  This should t,17,0
81,"Building Defects - Inspection, Diagnosis and Repair",NATIONAL UNIVERSITY OF SINGAPORE,APIs,330.0,8.0,Unspecified,,"With the rapid change in landscape, design, construction and operation as well as the choice of materials for the built environment, the conventional knowledge and methodologies for inspection, diagnosis and repair need to be updated. _x000D_ _x000D_ At the end of the course, the participants will b",17,0
82,Building Services Systems Analysis and Management,Institute of Technical Education,APIs,628.975,120.0,Unspecified,,"On completion of the module, students should be able to interpret architectural drawings, and maintain fittings and fixtures, plumbing sanitary systems, as well as the masonry works of the building.  Students should be able to supervise swimming pool maintenance, landscaping services, pest control a",17,0
83,Business Acumen Level 5: Develop a Business Case for New Initiatives (Synchronous e-Learning),HUMAN CAPITAL (SINGAPORE) PTE. LTD.,APIs,400.0,24.0,Unspecified,,This unit addresses the skills and knowledge required to develop a business case to demonstrate the benefit of new people management/human capital initiatives. It covers the development of business case objectives and the preparation of risk analysis.,17,0
84,Business Acumen for Commercial Success (Classroom & Asynchronous),KORN FERRY (SG) PTE. LTD.,APIs,630.0,20.0,Intermediate,,"Every department in an organisation contributes to driving the strategic growth and bottom-line success. When professionals understand how their roles connect to the bigger picture, they become catalysts for progress and innovation. Adopting a business-savvy mindset is key to unlocking your leadersh",17,0
85,Business Economics (in MC in Aquaculture Management in Part-time Diploma in Applied Science (Aquaculture))Â,Temasek Polytechnic,APIs,599.4,60.0,Intermediate,,"In this course, you will learn the important aspects of Aquaculture, which include Feed Nutrition, Diseases Management, Hatchery Technology, and Aquaculture Systems, and many more! With the rapid expanding aquaculture production around the world, the insights gained here can improve aquaculture mana",17,0
86,Business Model Innovation for Healthcare Innovations,NATIONAL UNIVERSITY OF SINGAPORE,APIs,855.0,23.0,Beginner,,"By the end of this module, you should be able to_x000D_ Construct and execute basic customer and market survey for concept or product validation and to articulate key value proposition_x000D_ Analyze market positioning by conducting in-depth market landscaping (competitive landscape distribution cha",17,0
